Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
,,STDA_FT_ROccVent,0,0,68.79053,71.57551,55.32111,0,193.1497,52.50537,77.75222,193.1497,42.32925,79.36377,179.8297,,,,42.71668,80.74498,179.7434,43.15245,77.95407,229.1912,0,0,0,0,0,0.9373335,0,0,
,,STDA_FT_LOccVent,0,0,68.31491,80.17355,55.31386,0,193.1407,52.50014,77.34008,193.1407,42.33148,78.82986,179.821,,,,42.71575,80.09148,179.7281,43.14929,77.70609,229.181,0,0,0,0,0,0.9514511,0,0,
,,STDA_FT_RDetVent,0,0,68.86344,86.56378,55.31739,0,193.1318,52.50668,76.7625,193.1318,42.31676,78.09212,179.8127,,,,42.70757,79.65062,179.712,43.14799,77.33121,229.1715,0,0,0,0,0,0.9282314,0,0,
,,STDA_FT_LDetVent,0,0,69.46201,90.31791,55.32725,0,193.1232,52.49921,76.40493,193.1232,42.32273,77.66192,179.8047,,,,42.71278,79.06236,179.6955,43.14037,77.00379,229.1625,0,0,0,0,0,0.9425347,0,0,
,,STDA_FT_PostVentTopup,0,0,69.10175,93.46279,55.31963,0,193.1144,52.50911,75.95583,193.1144,42.31602,77.09464,179.7961,,,,42.7033,78.50148,179.679,43.13516,76.68703,229.1541,0,0,0,0,0,0.9341756,0,0,
,,STDA_FT_LeakTest,0,0,68.88019,96.19224,55.31219,0,193.1056,52.49173,75.49442,193.1056,42.34266,76.51623,179.7878,,,,42.69865,77.97148,179.6626,43.14427,76.34734,229.1465,0,0,0,0,0,0.9165286,0,0,
,,STDA_FT_TopUpWait,0,0,68.63824,97.6331,55.29805,0,193.097,52.50444,74.85173,193.097,42.31881,75.99093,179.7793,,,,42.70013,77.41177,179.6458,43.1426,76.01939,229.1388,0,0,0,0,0,0.9304605,0,0,
,,STDA_FT_TopUp,0,0,67.33424,99.00495,55.31014,0,193.0884,52.47922,74.33399,193.0884,42.3272,75.43393,179.771,,,,42.68099,76.86158,179.6289,43.1597,75.69125,229.1312,0,0,0,0,0,0.9358475,0,0,
,,STDA_FT_Inflate,0,0,66.69491,100.0588,55.32037,0,193.0797,52.49995,73.79338,193.0797,42.31136,75.10036,179.7623,,,,42.68824,76.09495,179.6124,43.14186,75.13932,229.1242,0,0,0,0,0,0.9475502,0,0,
,,STDA_FT_Deflate,0,0,66.9427,101.0739,55.31442,0,193.0715,52.49267,73.22636,193.0715,42.32124,74.4084,179.7539,,,,42.69865,75.68943,179.5962,43.14483,74.73665,229.1167,0,0,0,0,0,0.9380766,0,0,
,,STDA_FT_BleedVent,0,0,67.56377,102.0284,55.32037,0,193.0639,52.47829,72.68458,193.0639,42.31155,74.10089,179.7452,,,,42.6927,75.11532,179.5802,43.13386,74.08907,229.1091,0,0,0,0,0,0.9341756,0,0,
,,STDA_FT_OccDump,0,0,67.81332,102.904,55.30995,0,193.057,52.47698,72.35477,193.057,42.31807,73.43655,179.7366,,,,42.68675,74.53323,179.5643,43.13237,73.55502,229.1015,0,0,0,0,0,0.9460641,0,0,
,,STDA_FT_DetDump,0,0,68.47102,103.5281,55.31609,0,193.0507,52.47922,72.09524,193.0507,42.31229,72.88194,179.7276,,,,42.69865,73.79266,179.5491,43.13758,72.80692,229.094,0,0,0,0,0,0.9393768,0,0,
,,STDA_FT_Process,0,0,70.22218,103.3359,55.31088,0,193.0452,52.47455,71.71819,193.0452,42.32198,72.15313,179.719,,,,42.70032,73.16041,179.5343,43.12643,72.16367,229.0865,0,0,0,0,0,0.9416059,0,0,
,,STDA_CL_Inflate,0,0,73.30198,102.9343,55.29433,0,193.0401,52.48352,71.39606,193.0401,42.31453,71.50388,179.7101,,,,42.68006,72.50877,179.5203,43.13145,71.52187,229.079,0,0,0,0,0,0.9334326,0,0,
,,STDA_CL_Hold,0,0,76.24184,102.5144,55.28633,0,193.0355,52.47399,71.07649,193.0355,42.31155,71.07965,179.7013,,,,42.68898,71.83395,179.5074,43.12698,70.84415,229.0715,0,0,0,0,0,0.9432778,0,0,
,,STDA_CL_Isolate,0,0,77.2374,102.2818,55.28242,0,193.0312,52.46801,70.73692,193.0312,42.31136,70.47888,179.6924,,,,42.68972,71.40104,179.4954,43.12791,70.1899,229.0639,0,0,0,0,0,0.9475502,0,0,
,,STDA_CL_Measure,0,0,78.83511,101.5868,55.26382,0,193.0269,52.50089,70.40982,193.0269,42.32775,69.9208,179.6835,,,,42.67931,70.81458,179.4842,43.13907,69.53197,229.0565,0,0,0,0,0,0.9521941,0,0,
,,STDL_Idle,0,0,80.15121,100.5266,55.28335,0,193.0226,52.48221,70.08107,193.0226,42.32421,69.17311,179.6745,,,,42.69363,70.24986,179.4734,43.14855,69.08867,229.0491,0,0,0,0,0,0.9425347,0,0,
,,STDL_InitialInflate,309,1128,80.56956,99.01514,55.28986,0,193.0188,52.47399,69.52927,193.0188,42.30782,68.5376,179.6658,,,,42.68972,69.50182,179.4632,43.14409,68.50351,229.0417,0,0,0,0,0,0.9540517,0,0,
,,STDL_InitialPresHold,1128,2163,80.60959,96.23142,55.29972,0,193.0149,52.45438,69.12672,193.0149,42.30261,68.1105,179.6571,,,,42.68303,69.08875,179.4533,43.1465,68.16138,229.0339,0,0,0,0,0,0.9505223,0,0,
,,STDL_InitialTopUp,2265,2458,80.68539,93.00654,55.27443,0,193.0114,52.47399,68.47902,193.0114,42.30913,67.50707,179.6484,,,,42.6808,68.51347,179.4434,43.13535,67.48452,229.0261,0,0,0,0,0,0.9328753,0,0,
,,STDL_AR_Init,0,0,79.95591,89.505,55.29581,0,193.0081,52.46708,68.165,193.0081,42.31807,67.17172,179.64,,,,42.68898,67.93468,179.4335,43.11434,67.1698,229.0179,0,0,0,0,0,0.9432778,0,0,
,,STDL_Arm_TopUp,0,0,78.80515,85.2304,55.29656,0,193.0052,52.47847,67.71024,193.0052,42.30168,66.71643,179.6315,,,,42.69121,67.19231,179.4237,43.16119,66.50523,229.0086,0,0,0,0,0,0.9393768,0,0,
,,STDL_Arm_Inflate,0,0,79.16306,80.46857,55.30995,0,193.0026,52.44859,67.23808,193.0026,42.31975,66.25174,179.623,,,,42.69567,66.78015,179.4138,43.14632,65.95319,228.9988,0,0,0,0,0,0.9460641,0,0,
,,STDL_Arm_Deflate,0,0,79.3707,77.18916,55.30865,0,193.0005,52.46783,66.60444,193.0005,42.32701,65.8333,179.6146,,,,42.70013,66.20238,179.4042,43.12568,65.22274,228.9883,0,0,0,0,0,0.9351044,0,0,
,,STDL_Arm_ProcessWait,0,0,78.19777,74.1302,55.29898,0,192.9986,52.45606,65.86426,192.9986,42.31081,65.16715,179.6059,,,,42.68229,65.84494,179.3949,43.13089,64.57372,228.9772,0,0,0,0,0,0.9232159,0,0,
